case,start,end,faam
20170511,20170511T000000,20170511T235959,-
20170512,20170512T000000,20170512T235959,-
20170513,20170513T000000,20170513T235959,-
20170514,20170514T000000,20170514T235959,-
20170515,20170515T000000,20170515T235959,-
20170531,20170531T000000,20170531T235959,-
20170601,20170601T000000,20170601T235959,-
20170602,20170602T000000,20170602T235959,-
20170614,20170614T000000,20170614T235959,-
20170615,20170615T000000,20170615T235959,-
20170616,20170616T000000,20170616T235959,-
20170617,20170617T000000,20170617T235959,-
20170618,20170618T000000,20170618T235959,-
20170619,20170619T000000,20170619T235959,-
20170620,20170620T000000,20170620T235959,-
20170621,20170621T000000,20170621T235959,-
20170622,20170622T000000,20170622T235959,-
20170625,20170625T000000,20170625T235959,-
20170626,20170626T000000,20170626T235959,-
20170627,20170627T000000,20170627T235959,-
20170628,20170628T000000,20170628T235959,-
20170701,20170701T000000,20170701T235959,-
20170702,20170702T000000,20170702T235959,-
20170703,20170703T000000,20170703T235959,-
20170704,20170704T000000,20170704T235959,-
20170705,20170705T000000,20170705T235959,-
20170706,20170706T000000,20170706T235959,-
20170707,20170707T000000,20170707T235959,-
20170708,20170708T000000,20170708T235959,-
20170709,20170709T000000,20170709T235959,-
20170710,20170710T000000,20170710T235959,-
20170711,20170711T000000,20170711T235959,-
20170712,20170712T000000,20170712T235959,-
20170717,20170717T000000,20170717T235959,-
20170718,20170718T000000,20170718T235959,-
20170719,20170719T000000,20170719T235959,-
20170724,20170724T000000,20170724T235959,-
20170725,20170725T000000,20170725T235959,-
20170726,20170726T000000,20170726T235959,-
20170727,20170727T000000,20170727T235959,-
